categories,subcategories,items,description,notes
0,0A,0A001,"""Nuclear reactors"" and specially designed or prepared equipment and components therefor, as follows:",
0,0A,0A001.a.,"""Nuclear reactors"";",
0,0A,0A001.b.,"Metal vessels, or major shop-fabricated parts therefor, including the reactor vessel head for a reactor pressure vessel, specially designed or prepared to contain the core of a ""nuclear reactor"";",
0,0A,0A001.c.,"Manipulative equipment specially designed or prepared for inserting or removing fuel in a ""nuclear reactor"";",
0,0A,0A001.d.,"Control rods specially designed or prepared for the control of the fission process in a ""nuclear reactor"", support or suspension structures therefor, rod drive mechanisms and rod guide tubes;",
0,0A,0A001.e.,"Pressure tubes specially designed or prepared to contain both fuel elements and the primary coolant in a ""nuclear reactor"";",
0,0A,0A001.f.,"Zirconium metal tubes or zirconium alloy tubes (or assembles of tubes) specially designed or prepared for use as fuel cladding in a ""nuclear reactor"", and in quantities exceeding 10 kg;",
0,0A,0A001.f.,,For zirconium pressure tubes see 0A001.e. and for calandria tubes see 0A001.h.
0,0A,0A001.g.,"Coolant pumps or circulators specially designed or prepared for circulating the primary coolant of ""nuclear reactors"";",
0,0A,0A001.g.,,"'In 0A001.h. nuclear reactor internals means any major structure within a reactor vessel which has one or more functions such as supporting the core, maintaining fuel alignment, directing primary coolant flow, providing radiation shields for the reactor vessel, and guiding in-core instrumentation.'"
0,0A,0A001.i.,Heat exchangers as follows:,
0,0A,0A001.i.1.,"Steam generators specially designed or prepared for the primary, or intermediate, coolant circuit of a ""nuclear reactor"";",
0,0A,0A001.i.2.,"Other heat exchangers specially designed or prepared for use in the primary coolant circuit of a ""nuclear reactor"";",
0,0A,0A001.i.2.,,"0A001.i. does not control heat exchangers for the supporting systems of the reactor, e.g., the emergency cooling system or the decay heat cooling system."
0,0A,0A001.j.,"Neutron detectors specially designed or prepared for determining neutron flux levels within the core of a ""nuclear reactor"";",
0,0A,0A001.j.,,'In 0A001.k. external thermal shields means major structures placed over the reactor vessel which reduce heat loss from the reactor and reduce temperature within the containment vessel.'
0,0B,0B001,"Plant for the separation of isotopes of ""natural uranium"", ""depleted uranium"" or ""special fissile materials"", and specially designed or prepared equipment and components therefor, as follows:",
0,0B,0B001.a.,"Plant specially designed for separating isotopes of ""natural uranium"", ""depleted uranium"", or ""special fissile materials"", as follows:",
0,0B,0B001.a.1.,Gas centrifuge separation plant;,
0,0B,0B001.a.2.,Gaseous diffusion separation plant;,
0,0B,0B001.a.3.,Aerodynamic separation plant;,
0,0B,0B001.a.4.,Chemical exchange separation plant;,
0,0B,0B001.a.5.,Ion-exchange separation plant;,
0,0B,0B001.a.6.,"Atomic vapour ""laser"" isotope separation plant;",
0,0B,0B001.a.7.,"Molecular ""laser"" isotope separation plant;",
0,0B,0B001.a.8.,Plasma separation plant;,
0,0B,0B001.a.9.,Electro magnetic separation plant;,
0,0B,0B001.a.9.,,"'In 0B001.b. high strength-to-density ratio material means any of the following:', '1.Maraging steel capable of an ultimate tensile strength of 1,95 GPa or more;', '2.Aluminium alloys capable of an ultimate tensile strength of 0,46 GPa or more;or', '3.Fibrous or filamentary materials with a specific modulus of more than 3,18x106m and a specific tensile strength greater than 7,62x 104 m;', '1.Gas centrifuges;', '2.Complete rotor assemblies;', '3.Rotor tube cylinders with a wall thickness of 12 mm or less, a diameter of between 75mm and650 mm, made from high strength-to-density ratio materials;', '4.Rings or bellows with a wall thickness of 3 mm or less and a diameter of between 75mm and650 mm and designed to give local support to a rotor tube or to join a number together, made from high strength-to-density ratio materials;', '5.Baffles of between 75 mm and650 mm diameter for mounting inside a rotor tube, made from high strength-to-density ratio materials;', '6.Top or bottom caps of between 75 mm and650 mm diameter to fit the ends of a rotor tube, made from high strength-to-density ratio materials;', '7.Magnetic suspension bearings as follows:a.Bearing assemblies consisting of an annular magnet suspended within a housing made of or protected by materials resistant to corrosion by UF6 containing a damping medium and having the magnet coupling with a pole piece or second magnet fitted to the top cap of the rotor;b.Active magnetic bearings specially designed or prepared for use with gas centrifuges;', '8.Specially prepared bearings comprising a pivot-cup assembly mounted on a damper;', '9.Molecular pumps comprised of cylinders having internally machined or extruded helical grooves and internally machined bores;', '10.Ring-shaped motor stators for multiphase AC hysteresis (or reluctance) motors for synchronous operation within a vacuum at a frequency of 600 Hz or more and a power of 40 VA or more;', '11.Centrifuge housing/recipients to contain the rotor tube assembly of a gas centrifuge, consisting of a rigid cylinder of wall thickness up to 30mm with precision machined ends that are parallel to each other and perpendicular to the cylinder’s longitudinal axis to within 0,05 ° or less;', '12.Scoops consisting of specially designed or prepared tubes for the extraction of UF6 gas from within the rotor tube by a Pitot tube action and capable of being fixed to the central gas extraction system;', '13.Frequency changers (converters or inverters) specially designed or prepared to supply motor stators for gas centrifuge enrichment, having all of the following characteristics, and specially designed components therefor:a.A multiphase frequency output of 600Hz or greater; andb.High stability (with frequency control better than 0,2%);', '14.Shut-off and control valves as follows:a.Shut-off valves specially designed or prepared to act on the feed, product or tails UF6 gaseous streams of an individual gas centrifuge;b.Bellows-sealed valves, shut-off or control, made of or protected by materials resistant to corrosion by UF6, with an inside diameter of 10mm to 160mm, specially designed or prepared for use in main or auxiliary systems of gas centrifuge enrichment plants;'"
0,0B,0B001.b.1.,"Maraging steel capable of an ultimate tensile strength of 1,95 GPa or more;",
0,0B,0B001.b.2.,"Aluminium alloys capable of an ultimate tensile strength of 0,46 GPa or more;

or",
0,0B,0B001.b.3.,"""Fibrous or filamentary materials"" with a ""specific modulus"" of more than 3,18 x 106m and a ""specific tensile strength"" greater than 7,62 x 104 m;",
0,0B,0B001.b.1.,Gas centrifuges;,
0,0B,0B001.b.2.,Complete rotor assemblies;,
0,0B,0B001.b.3.,"Rotor tube cylinders with a wall thickness of 12 mm or less, a diameter of between 75 mm and 650 mm, made from 'high strength-to-density ratio materials';",
0,0B,0B001.b.4.,"Rings or bellows with a wall thickness of 3 mm or less and a diameter of between 75 mm and 650 mm and designed to give local support to a rotor tube or to join a number together, made from 'high strength-to-density ratio materials';",
0,0B,0B001.b.5.,"Baffles of between 75 mm and 650 mm diameter for mounting inside a rotor tube, made from 'high strength-to-density ratio materials';",
0,0B,0B001.b.6.,"Top or bottom caps of between 75 mm and 650 mm diameter to fit the ends of a rotor tube, made from 'high strength-to-density ratio materials';",
0,0B,0B001.b.7.,Magnetic suspension bearings as follows:,
0,0B,0B001.b.7.a.,"Bearing assemblies consisting of an annular magnet suspended within a housing made of or protected by ""materials resistant to corrosion by UF6"" containing a damping medium and having the magnet coupling with a pole piece or second magnet fitted to the top cap of the rotor;",
0,0B,0B001.b.7.b.,Active magnetic bearings specially designed or prepared for use with gas centrifuges;,
0,0B,0B001.b.8.,Specially prepared bearings comprising a pivot-cup assembly mounted on a damper;,
0,0B,0B001.b.9.,Molecular pumps comprised of cylinders having internally machined or extruded helical grooves and internally machined bores;,
0,0B,0B001.b.10.,Ring-shaped motor stators for multiphase AC hysteresis (or reluctance) motors for synchronous operation within a vacuum at a frequency of 600 Hz or more and a power of 40 VA or more;,
0,0B,0B001.b.11.,"Centrifuge housing/recipients to contain the rotor tube assembly of a gas centrifuge, consisting of a rigid cylinder of wall thickness up to 30 mm with precision machined ends that are parallel to each other and perpendicular to the cylinder’s longitudinal axis to within 0,05 ° or less;",
0,0B,0B001.b.12.,Scoops consisting of specially designed or prepared tubes for the extraction of UF6 gas from within the rotor tube by a Pitot tube action and capable of being fixed to the central gas extraction system;,
0,0B,0B001.b.13.,"Frequency changers (converters or inverters) specially designed or prepared to supply motor stators for gas centrifuge enrichment, having all of the following characteristics, and specially designed components therefor:",
0,0B,0B001.b.13.a.,A multiphase frequency output of 600 Hz or greater; and,
0,0B,0B001.b.13.b.,"High stability (with frequency control better than 0,2%);",
0,0B,0B001.b.14.,Shut-off and control valves as follows:,
0,0B,0B001.b.14.a.,"Shut-off valves specially designed or prepared to act on the feed, product or tails UF6 gaseous streams of an individual gas centrifuge;",
0,0B,0B001.b.14.b.,"Bellows-sealed valves, shut-off or control, made of or protected by ""materials resistant to corrosion by UF6"", with an inside diameter of 10 mm to 160 mm, specially designed or prepared for use in main or auxiliary systems of gas centrifuge enrichment plants;",
0,0B,0B001.c.,"Equipment and components, specially designed or prepared for gaseous diffusion separation process, as follows:",
0,0B,0B001.c.1.,"Gaseous diffusion barriers made of porous metallic, polymer or ceramic ""materials resistant to corrosion by UF6"" with a pore size of 10 to 100 nm, a thickness of 5 mm or less, and, for tubular forms, a diameter of 25 mm or less;",
0,0B,0B001.c.2.,"Gaseous diffuser housings made of or protected by ""materials resistant to corrosion by UF6"";",
